                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2922,                 3.6739,                 4.2258,                0.00457,                0.60127,                0.02276,                0.00664,                 3.0625,                 3.7745,                 4.1521,                0.00042,                0.00042,                0.00042
                      2,                 3.3424,                 3.4417,                 4.1021,                0.00478,                0.63924,                0.02512,                0.00772,                  3.073,                 3.7688,                  4.079,             0.00085149,             0.00085149,             0.00085149
                      3,                 3.2556,                 3.2705,                 3.8639,                0.00497,                0.66456,                0.04812,                0.01299,                 3.0766,                 4.3072,                 4.6112,              0.0012743,              0.0012743,              0.0012743
                      4,                 3.1973,                 3.2332,                 3.6823,                0.01969,                0.16709,                0.01159,                0.00406,                 3.1025,                 62.515,                 12.005,              0.0016883,              0.0016883,              0.0016883
                      5,                 3.0516,                 3.2168,                 3.5496,                0.01407,                0.25316,                0.00797,                0.00286,                 3.1467,                 9.5402,                  4.272,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.0042,                  3.171,                 3.4279,                0.00345,                0.41519,                 0.0025,                0.00087,                 3.5145,                    inf,                 19.583,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.9073,                 3.0897,                 3.3554,                0.02288,                0.25316,                0.01331,                0.00425,                 2.9921,                 4.9913,                 3.7348,               0.001901,               0.001901,               0.001901
                      8,                 2.7923,                 3.0871,                 3.2879,                0.01518,                0.16076,                0.01027,                0.00289,                 3.0901,                   67.4,                 3.9448,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.7096,                 3.0567,                 3.2069,                 0.0647,                0.08481,                0.02164,                0.00597,                 2.8718,                 8.7606,                 3.5934,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.7148,                 3.0543,                  3.214,                0.00748,                0.25949,                0.00615,                0.00242,                 2.8593,                    inf,                 3.6207,              0.0018416,              0.0018416,              0.0018416
                     11,                   2.66,                  2.976,                 3.1401,                0.14471,                0.19114,                0.08786,                0.02448,                 2.7291,                 3.7067,                 3.2908,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.6583,                 2.9859,                 3.1023,                0.09782,                0.26456,                 0.0812,                0.02308,                 2.6897,                 3.4363,                 3.3411,               0.001802,               0.001802,               0.001802
                     13,                 2.5716,                 2.9972,                 3.0795,                0.10365,                0.15696,                0.06348,                0.01805,                 2.6431,                 3.3221,                 3.2893,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.5592,                 2.9778,                 3.0692,                0.14462,                0.17342,                0.10091,                0.03032,                 2.5316,                  3.483,                 3.1315,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.5581,                 2.9085,                 3.0016,                0.09135,                0.37468,                0.08705,                0.02769,                  2.516,                 3.3189,                 3.1145,              0.0017426,              0.0017426,              0.0017426
                     16,                  2.553,                 2.9182,                 2.9965,                0.15294,                0.16329,                0.08678,                0.02716,                 2.5825,                 3.3601,                 3.1478,              0.0017228,              0.0017228,              0.0017228
                     17,                  2.513,                 2.8805,                 2.9354,                0.08844,                0.11139,                0.07359,                0.02622,                 2.4657,                 4.4476,                 3.0731,               0.001703,               0.001703,               0.001703
                     18,                 2.4957,                 2.9257,                 2.9769,                 0.0973,                0.25063,                0.08525,                0.02739,                 2.4659,                 3.0563,                 3.0508,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.4942,                 2.8125,                 2.9269,                0.14772,                0.13544,                0.09924,                0.03049,                 2.4605,                 3.0003,                 3.0449,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.4747,                  2.855,                 2.8916,                0.21959,                0.22658,                0.12902,                0.04029,                 2.4188,                 3.5208,                 2.9977,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.4536,                 2.8687,                 2.8956,                0.16971,                0.16582,                0.10992,                0.03374,                 2.4578,                 3.2014,                 3.0227,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.4386,                 2.7907,                 2.8642,                0.13011,                0.10759,                0.06944,                0.02136,                 2.4802,                 3.5671,                 3.0442,               0.001604,               0.001604,               0.001604
                     23,                 2.3463,                  2.825,                 2.8302,                0.17427,                0.21013,                0.14162,                0.04609,                 2.4048,                 3.4913,                 2.9386,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.3774,                 2.7612,                 2.8081,                0.12837,                0.21772,                0.10617,                0.03564,                 2.4234,                   2.94,                  2.944,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.3878,                 2.7764,                 2.7866,                 0.2344,                0.09873,                0.10835,                0.03842,                 2.4453,                 3.1053,                 3.0773,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.3619,                 2.7199,                 2.7718,                0.16669,                0.18734,                 0.1208,                0.03968,                 2.4587,                 2.9362,                 2.9855,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.3059,                 2.7072,                 2.7601,                0.15929,                0.22532,                0.13375,                 0.0442,                  2.353,                 3.3691,                 2.8793,               0.001505,               0.001505,               0.001505
                     28,                 2.2728,                 2.6489,                 2.7018,                0.17537,                0.21266,                0.12028,                0.03918,                 2.3877,                 2.9126,                 2.9034,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.3321,                 2.6146,                 2.7066,                0.23136,                0.33544,                0.18873,                0.06062,                 2.4085,                 2.6973,                 2.9127,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.2724,                 2.6028,                 2.6944,                 0.1915,                0.32405,                0.16195,                0.05521,                 2.2973,                 2.8614,                 2.8131,              0.0014456,              0.0014456,              0.0014456
                     31,                  2.224,                 2.6489,                 2.6567,                0.26014,                0.36709,                0.23607,                0.08652,                 2.2635,                 2.6693,                 2.7462,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.2098,                 2.5694,                 2.6156,                0.27013,                0.37722,                0.22097,                0.07817,                 2.3059,                 2.6855,                 2.7772,               0.001406,               0.001406,               0.001406
                     33,                 2.1908,                 2.4529,                 2.5958,                0.27111,                0.41266,                0.23733,                0.08971,                 2.2362,                 2.7746,                 2.7104,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.1611,                 2.4983,                 2.5693,                0.29131,                0.37089,                0.25965,                0.10225,                 2.2681,                 2.7445,                 2.7531,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.1322,                  2.443,                 2.5591,                0.30402,                0.37722,                0.25439,                0.09094,                 2.2421,                 2.7628,                 2.7801,              0.0013466,              0.0013466,              0.0013466
